Dance,Figure Name,Level,Step,Lead Feet Positions,Lead Alignment,Lead Amount of Turn,Lead Rise and Fall,Lead Footwork,Lead CBM,Lead Sway,Follow Feet Positions,Follow Alignment,Follow Amount of Turn,Follow Rise and Fall,Follow Footwork,Follow CBM,Follow Sway,General Notes
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,1,LF fwd,Facing DC,Com to turn L 1/4 between 1-2,Rise e/o 1,HT,true,S,RF back,Backing DC,Com to turn L,Rise slightly at e/o 1 NFR,TH,true,S,"Note. Step 7 Lead RF cross front, Heel or Toe may touch floor. Weave from PP could follow step 7."
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,2,RF to side,Backing DW,1/4 between 2-3,Up,T,false,L,LF closes to RF (Heel Turn),Facing DW,1/4 between 1-2,Cont to rise on 2,HT,false,R,
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,3,LF sideways in PP,Facing DW against LOD,Com to turn R 1/8 between 4-5,Up. Lower e/o 3,TH,false,S,RF diag fwd in PP,Facing DW,Nil,Up. Lower e/o 3,TH,false,S,
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,4,RF fwd and across in PP and CBMP,Facing DW against LOD (Moving wall),1/8 between 5-6,Rise e/o 4,HT,true,S,LF fwd and across in PP and CBMP,Facing DW (Moving wall),Nil,Rise e/o 4,HT,true,S,
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,5,LF to side,Backing LOD,1/2 to R on 7,Up,T,false,R,RF fwd,Facing DW,Nil,Up,TH,false,L,
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,6,RF back R side leading,Backing DW,Com to turn L 1/8 between 8-9,Up. Lower e/o 6,TH,false,R,LF fwd preparing step OP L side leading,Facing DW,Nil,Up. Lower e/o 6,TH,false,L,
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,7,LF back in CBMP RF crosses front no weight End PP,DW Toe turned in,1/8 between 9-10 Body turns less,Rise e/o 8,TH pressure T,true,S,RF fwd in CBMP OP LF closes slightly back no weight End PP,Facing DW End facing DC against LOD,1/2 to R on 7,Rise e/o 8,HTH pressure T,true,S,
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,8,RF fwd and across in PP and CBMP,Facing DC (Moving centre),Nil,Up,HT,true,S,LF fwd and across in PP and CBMP,Facing DC against LOD (Moving centre),Com to turn L,Up,HT,true,S,
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,9,LF diag fwd,Facing DC,Nil,Up,T,false,R,RF to side and slightly back,Backing LOD,1/8 between 8-9,Up,TH,false,L,
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,10,preparing step OP L side leading RF fwd in CBMP OP,Facing DC,Nil,Up. Lower e/o 10,TH,false,R,LF back in CBMP,Backing DC,1/8 between 9-10 Body turns less,Up. NFR Lower e/o 10,TH,false,L,
Foxtrot,Open Telemark Natural Turn to Outside Swivel and Feather Ending,Gold,11,LF fwd,Facing DC,Nil,,H,true,S,RF back,Backing DC,Nil,,T,true,S,
Foxtrot,Weave from PP,Silver,1,RF fwd in PP and CBMP,Pointing DC Body facing LOD,Com to turn L 1/4 between 2-3,Rise e/o 1,HT,false,Nil,LF fwd and across in PP and CBMP,Pointing to centre (Moving DC),Com to turn L 3/8 between 1-2,Rise e/o 1,HT,false,Nil,"Note. On step 4 the footwork of TH may be used. Rise on 5 will then be ""Up NFR""."
Foxtrot,Weave from PP,Silver,2,LF fwd,Facing DC,1/8 between 3-4,Up,T,true,Nil,RF to side and slightly back,Backing DC,3/8 between 2-3 Body turns less,Up,T,false,Nil,
Foxtrot,Weave from PP,Silver,3,RF to side and slightly back,Backing DW,Com to turn L 3/8 between 5-6 Body turns less,Up,T,false,Nil,LF to side and slightly fwd,Pointing to LOD,Com to turn L,Up,T,false,Nil,
Foxtrot,Weave from PP,Silver,4,LF back in CBMP,Backing LOD,,Up,T,false,Nil,RF fwd in CBMP OP,Facing LOD,1/4 between 5-6,Up,T,false,Nil,
Foxtrot,Weave from PP,Silver,5,RF back,Backing LOD,,Up,T,true,Nil,LF fwd,Facing LOD,1/8 between 6-7 Body turns less,Up,T,true,Nil,
Foxtrot,Weave from PP,Silver,6,LF to side and slightly fwd,Pointing DW,,Up,T,false,R,RF to side,Backing wall,Nil,Up,TH,false,L,
Foxtrot,Weave from PP,Silver,7,RF fwd in CBMP OP,Facing DW,,Up. Lower e/o 7,TH,false,R,LF back in CBMP,Backing DW,Nil,Up. NFR Lower elo 7,TH,false,L,
Foxtrot,Weave from PP,Silver,8,LF fwd,Facing DW,Nil,,H,true,S,RF back,Backing DW,Nil,,T,true,S,
Foxtrot,Reverse Wave,Gold,1,LF fwd,Facing LOD,Com to turn L 1/4 between 1-2,Rise e/o 1,HT,true,L,RF back,Backing LOD,Com to turn L 3/8 between 1-2,Rise slightly e/o 1 NFR,TH,true,R,"Note. Although rise is taken from T of LF step 5, when RF moves back for step 6, Heel must be in contact with floor."
Foxtrot,Reverse Wave,Gold,2,RF to side,Backing wall,1/8 between 2-3,Up. Lower e/o 3,T,false,L,LF closes to RF (Heel Turn),Facing DW,Nil,Cont to rise on 2,HT,false,R,
Foxtrot,Reverse Wave,Gold,3,LF back,Backing DW,Com to turn L 1/8 between 4-6,Up,TH,false,S,RF fwd,Facing DW,Com to turn L 1/8 between 4-6,Up. Lower e/o 3,TH,false,S,
Foxtrot,Reverse Wave,Gold,4,RF back,Backing DW,,Rise e/o 5,TH,true,R,LF fwd,Facing DW,Nil,Rise e/o 5,H,true,L,
Foxtrot,Reverse Wave,Gold,5,LF back,Curving towards LOD,,Up. Lower e/o 6,T,false,R,RF fwd,Curving towards LOD,Com to turn R 3/8 between 7-8 Body turn to L,Nil,HT,false,L,
Foxtrot,Reverse Wave,Gold,6,RF back,Backing LOD,,,TH,false,S,LF fwd,Facing LOD,,Up. Lower e/o 6,TH,false,S,
Foxtrot,Reverse Wave,Gold,7,LF back,Backing LOD,Com turn R 3/8 between 7-8 Body turn to L,,TH,true,S,RF fwd,Facing LOD,Nil,,HT,true,S,
Foxtrot,Reverse Wave,Gold,8,RF to side small step (Heel Pull),Facing DC,,,"H, IE of foot, whole foot, then IE of LF",false,L,LF to side,Backing DC,,,TH then IE of T,false,R,
Foxtrot,Reverse Wave,Gold,9,LF fwd,Facing DC,,,H,true,S,RF back having brushed to LF,Backing DC,,,T,true,S,
Foxtrot,Natural Twist Turn,Gold,1,RF fwd,Facing LOD,Com to turn R 3/8 between 1-2,Nil,HT,true,R,LF back,Backing LOD,Com to turn R 1/2 between 1-2,Nil,TH,true,L,Note. There is no upward swing (rise) on the first 3 steps. Note the overturn of Body on 5.
Foxtrot,Natural Twist Turn,Gold,2,LF to side,Backing DC,1/8 between 2-3,Nil,TH,false,R,RF closes to LF (Heel Turn),Facing LOD,1/8 between 2-4 1/4 between 4-5,Nil,HT,false,L,
Foxtrot,Natural Twist Turn,Gold,3,RF crosses behind LF slightly back,Backing LOD,3/8 on 4-5 Body turns more,Nil,T,false,S,LF fwd preparing step OP L side leading,Facing almost DW,Body turns more,Nil,T,false,S,
Foxtrot,Natural Twist Turn,Gold,4,Twist on both feet,Facing DC,Nil,Nil,Twist on T of RF and H of LF,false,S,RF fwd in CBMP OP,Facing DW,Nil,Nil,T,true,R,
Foxtrot,Natural Twist Turn,Gold,5,End as Heel Pull,Facing DC,Nil,Rise on 5,T (RF) with pressure IE of T of LF,false,L,LF to side,Backing DC,Nil,Rise on 5,T and IE of T of RF,false,R,
Foxtrot,Natural Twist Turn,Gold,6,Hover Feather,Facing DC,Nil,,T,false,S,RF brushes to LF,Backing DC,Nil,,TH,false,S,
Foxtrot,Natural Twist Turn,Gold,7,Hover Feather,Facing DC,Nil,,TH,false,S,Hover Feather,Backing DC,Nil,,TH,false,S,
Foxtrot,Natural Twist Turn,Gold,8,Hover Feather,Facing DC,Nil,,H,true,S,Hover Feather,Backing DC,Nil,,T,true,S,
Foxtrot,Curved Feather to Back Feather,Gold,1,RF fwd,Facing LOD,Com to turn R 1/8 between 1-2,Rise e/o 1,HT,true,R,LF back,Backing LOD,Com to turn R 1/8 between 1-2,Rise e/o 1 NFR,TH,true,L,Note. Note the gradual rise in Back Feather. Normal ending is a Feather Finish.
Foxtrot,Curved Feather to Back Feather,Gold,2,LF diag fwd preparing step OP L side leading,Facing DW,1/8 between 2-3,Up,T,false,R,RF back R side leading,Backing DW,1/s between 2-3,Up,T,false,L,
Foxtrot,Curved Feather to Back Feather,Gold,3,RF fwd in CBMP OP,Facing wall,1/8 between 3-4,Up. Lower e/o 3,TH,false,R,LF back in CBMP,Backing wall,1/s between 3-4,Up. Lower e/o 3,TH,false,L,
Foxtrot,Curved Feather to Back Feather,Gold,4,LF back in CBMP,Backing DC,Nil,Com to rise e/o 4 NFR,TH,true,S,RF fwd in CBMP OP,Facing DC,1/s between 4-6,Com to rise e/o 4,HT,true,S,
Foxtrot,Curved Feather to Back Feather,Gold,5,RF back R side leading,Curving towards LOD,1/8 between 4-6,Cont to rise on 5,T,false,S,LF fwd L side leading,Curving towards LOD,Nil,Cont to rise on 5,T,false,S,
Foxtrot,Curved Feather to Back Feather,Gold,6,LF back in CBMP,Backing LOD,Nil,Up. Lower e/o 6,TH,false,S,RF fwd in CBMP OP,Facing LOD,Nil,Up. Lower e/o 6,TH,false,S,
Foxtrot,Curved Feather to Back Feather,Gold,7,RF back,Backing LOD,Nil,,T,true,S,LF fwd,Facing LOD,Nil,,H,true,S,
Foxtrot,Natural Zig-Zag from Promenade Position,Gold,1,RF fwd and across in PP and CBMP,Facing DW (Moving along LOD),Com to turn R 1/8 between 1-2,Rise e/o 1,HT,true,Nil,LF fwd and across in PP and CBMP,Facing DC (Moving along LOD),Com to turn L,Rise e/o 1,HT,true,Nil,
Foxtrot,Natural Zig-Zag from Promenade Position,Gold,2,LF to side,Backing centre,Nil,Up,T,false,Nil,RF diag fwd preparing step OP on L side,Facing DC,Nil,Up,T,false,Nil,
Foxtrot,Natural Zig-Zag from Promenade Position,Gold,3,RF back in CBMP,Backing centre,Com to turn L 1/8 between 3-4 Body turns less,Up,T,true,Nil,LF fwd in CBMP OP on L side,Facing DC,1/8 between 3-4 Body turns less,Up,T,true,Nil,
Foxtrot,Natural Zig-Zag from Promenade Position,Gold,4,LF to side and slightly fwd,Pointing DW,Nil,Up,T,false,R,RF to side,Backing wall,1/8 between 4-5 Body turns less,Up,TH,false,L,
Foxtrot,Natural Zig-Zag from Promenade Position,Gold,5,RF fwd in CBMP OP,Facing DW,Nil,Up. Lower e/o 5,TH,false,R,LF back in CBMP,Backing DW,Nil,Up. NFR Lower e/o 5,TH,false,L,
Foxtrot,Natural Zig-Zag from Promenade Position,Gold,6,LF fwd,Facing DW,Nil,,H,true,S,RF back,Backing DW,Nil,,T,true,S,
Foxtrot,Fallaway Reverse and Slip Pivot,Gold,1,LF fwd,Facing DC,Com to turn L 1/4 between 1-2,Rise e/o 1,HT,true,Nil,RF back,Backing DC,5/8 to L on 3 (Pivot),Rise e/o 1 NFR,TH,false,Nil,Note. RF step 4 should be pressed firmly into floor. Compact position is easier if Follow keeps head to L.
Foxtrot,Fallaway Reverse and Slip Pivot,Gold,2,RF back in Fallaway R side leading,Backing DW (Moving down LOD),1/8 between 2-3 Body turns less,Up,T,false,Nil,LF back in Fallaway L side leading,Backing DC (Moving down LOD),1/4 or 1/8 on 4 (Pivot),Up,T,false,Nil,
Foxtrot,Fallaway Reverse and Slip Pivot,Gold,3,LF back in CBMP and Fallaway,Backing LOD,1/4 between 3-4 1/4 or 1/s on 4 (Pivot),Up. Lower e/o 3,TH,false,Nil,RF back in CBMP and Fallaway (small step) LF held in CBMP,Backing DC end facing centre,,Up. Lower e/o 3,T,true,Nil,
Foxtrot,Fallaway Reverse and Slip Pivot,Gold,4,RF back LF held in CBMP,To centre toe turned in end facing LOD or DW,,,THT,true,Nil,LF fwd in CBMP RF held in CBMP,To centre to end LOD or DW,,,TH,true,Nil,
Foxtrot,Natural Hover Telemark,Gold,1,RF fwd,Facing DW,Com to turn R 1/4 between 1-2,Rise e/o 1,HT,true,R,LF back,Backing DW,Com to turn R 3/8 between 1-2,Rise slightly e/o 1 NFR,TH,true,L,Note. Technical details follow Natural Telemark.
Foxtrot,Natural Hover Telemark,Gold,2,LF to side,Backing DC,1/2 between 2-3,Up. Lower e/o 2,TH,false,L,RF closes to LF (Heel Turn),Facing LOD,3/8 between 2-3,Cont to rise on 2 NFR,HT,false,R,
Foxtrot,Natural Hover Telemark,Gold,3,RF to side (Heel Pull),Facing DC,Slight body turn to R,Down on 3. Rise e/o 3,H IE whole foot,false,L,LF to side,Backing DC,Slight body turn to R,Down on 3. Rise e/o 3,T,false,R,
Foxtrot,Natural Hover Telemark,Gold,4,L knee veers inwards LF diag fwd preparing step OP L side leading,Facing DC,,Up,T (RF) pressure IE LF,false,L,RF brushes to LF,Backing DC,Nil,Up,T (LF) and IE of T of RF,false,R,
Foxtrot,Natural Hover Telemark,Gold,5,RF fwd in CBMP OP,Facing DC,,Up,T,false,S,RF diag. back R side leading,Backing DC,Nil,Up,TH,false,S,
Foxtrot,Natural Hover Telemark,Gold,6,LF fwd,Facing DC,,Up. Lower e/o 6,TH,false,S,LF back in CBMP,Backing DC,Nil,Up. NFR Lower e/o 6,TH,false,S,
Foxtrot,Natural Hover Telemark,Gold,7,LF fwd,Facing DC,Nil,,H,true,S,RF back,Backing DC,Nil,,T,true,S,
Foxtrot,Bounce Fallaway with Weave Ending,Gold,1,LF fwd,Facing DC,Com to turn L 1/4 between 1-2,Rise e/o 1,HT,true,Nil,RF back,Backing DC,Nil,Rise e/o 1,THT,false,Nil,Note. Slight flexing of knees on steps 2 and 4. Heel may touch floor.
Foxtrot,Bounce Fallaway with Weave Ending,Gold,2,RF back in Fallaway R side leading,Backing DW (Moving down LOD),Nil,Up. Lower e/o 2,T,false,Nil,LF back in Fallaway L side leading,Backing DC (Moving down LOD),Nil,Up. Lower e/o 2,T,false,Nil,
Foxtrot,Bounce Fallaway with Weave Ending,Gold,3,LF back in CBMP and Fallaway,Backing DW (Moving down LOD),1/8 between 4-5,Down. Rise e/o 3,T,true,Nil,RF back in CBMP and Fallaway,Backing DC (Moving down LOD),Com to turn L 3/8 between 3-4 Body turns less,Down. Rise e/o 3,T,true,Nil,
Foxtrot,Bounce Fallaway with Weave Ending,Gold,4,RF to side and slightly back,Backing DW,,Up. Lower e/o 4,T,false,R,LF to side and slightly fwd,Pointing to LOD,Slight body turn,Up. Lower e/o 4,T,false,L,
Foxtrot,Bounce Fallaway with Weave Ending,Gold,5,LF back in CBMP,Backing LOD,,Down. Rise e/o 5,T,true,R,RF fwd in CBMP OP,Facing LOD,,Down. Rise e/o 5,T,true,L,
Waltz,Reverse Turn,Pre-Bronze,1,LF fwd,Facing DC,Com to turn L 1/4 between 1-2,Com to rise e/o 1,HT,true,S,RF back,Backing DC,Com to turn L,Com to rise e/o 1 NFR,TH,true,S,
Waltz,Reverse Turn,Pre-Bronze,2,RF to side,Backing DW,1/8 between 2-3,Cont to rise on 2 and 3,T,false,L,LF to side,Pointing to LOD,3/8 between 1-2 Body turns less,NFR Cont to rise on 2 and 3,T,false,R,
Waltz,Reverse Turn,Pre-Bronze,3,LF closes to RF,Backing LOD,Nil,Lower e/o 3,TH,false,L,RF closes to LF,Facing LOD,Body completes turn,Lower e/o 3,TH,false,R,
Waltz,Reverse Turn,Pre-Bronze,4,RF back,Backing LOD,Com to turn L,Com to rise e/o 4 NFR,TH,true,S,LF fwd,Facing LOD,Com to turn L,Com to rise e/o 4,HT,true,S,
Waltz,Reverse Turn,Pre-Bronze,5,LF to side,Pointing DW,3/8 between 4-5 Body turns less,Cont to rise on 5 and 6,T,false,R,RF to side,Backing wall,1/4 between 4-5,Cont to rise on 5 and 6,T,false,L,
Waltz,Reverse Turn,Pre-Bronze,6,RF closes to LF,Facing DW,Body completes turn,Lower e/o 6,TH,false,R,LF closes to RF,Backing DW,1/8 between 5-6,Lower e/o 6,TH,false,L,
Waltz,Natural Spin Turn,Pre-Bronze,1,RF fwd,Facing DW,Com to turn R 1/4 between 1-2,Com to rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R,Com to rise e/o 1 NFR,TH,true,S,Note. When the Natural Spin Turn is danced at a corner or underturned along the side of the room the amount of turn is 3/8 on the pivot and 1/4 between 5-6.
Waltz,Natural Spin Turn,Pre-Bronze,2,LF to side,Backing DC,1/8 between 2-3,Cont to rise on 2 and 3,T,false,R,RF to side,Pointing to LOD,3/8 between 1-2 Body turns less completes,Cont to rise on 2 and 3,T,false,L,
Waltz,Natural Spin Turn,Pre-Bronze,3,RF closes to LF,,1/8 between 2-3,Lower e/o 3,TH,false,R,LF closes to RF,Facing LOD,Nil,Lower e/o 3,TH,false,L,
Waltz,Natural Spin Turn,Pre-Bronze,4,LF back,Backing LOD Down LOD toe turned in,1/2 to R on 4 (pivot),Nil,THT,true,S,RF fwd,Facing LOD,1/2 to R on 4 (pivoting action),Rise e/o 5,HT,true,S,Note. Although the footwork on step 4 is THT the Heel is in contact with the floor during the actual turn.
Waltz,Natural Spin Turn,Pre-Bronze,5,RF fwd in CBMP,Facing LOD,Cont to turn,Rise e/o 5,HT,true,S,LF back and slightly to side,Backing LOD,Cont to turn. Body turn,Up. Lower e/o 6,T,false,S,Note. The Rise is taken from the ball of LF on step 5 (Lady).
Waltz,Natural Spin Turn,Pre-Bronze,6,LF to side and slightly back,Backing DC,3/8 between 5-6,Up. Lower e/o 6,TH,false,S,RF diag fwd having brushed to LF,Facing DC,3/8 between 5-6,Up. Lower e/o 6,TH,false,S,Note. As the RF commences to move to brush to LF the ball of RF not the Heel is in contact with the floor.
Waltz,Whisk,Pre-Bronze,1,LF fwd,Facing DW,Nil,Com to rise e/o 1,HT,true,S,RF back.,Backing DW,Nil,Com to rise e/o 1 NFR,TH,false,S,Note. The position of step 2 is consistent with step 2 of a Closed Change.
Waltz,Whisk,Pre-Bronze,2,RF to side and slightly fwd,Facing DW,Nil,Cont to rise on 2,T,false,L,LF diag back,Pointing DC,1/4 to R between 1-2 Body turns less,Cont to rise on 2,T,false,R,
Waltz,Whisk,Pre-Bronze,3,LF crosses behind RF in PP,Facing DW,Nil,Up. Lower e/o 3,TH,false,L,RF crosses behind LF in PP,Facing DC,Body completes turn,Up. Lower e/o 3,TH,false,R,
Waltz,Chasse from PP,Pre-Bronze,1,RF fwd and across in PP and CBMP,Facing DW (Moving along LOD),Nil,Com to rise e/o 1,HT,true,Nil,LF fwd and across in PP and CBMP,Facing DC (Moving along LOD),Com to turn to L,Com to rise e/o 1,HT,true,Nil,"Note. Timing: 1 2 & 3 1. Beat Value: 1, 1/2, 1/2, 1, 1."
Waltz,Chasse from PP,Pre-Bronze,2,LF to side and slightly fwd,Facing DW,Nil,Cont to rise on 2 and 3,T,false,Nil,RF to side,Backing wall against LOD,1/8 between 1-2,Cont to rise on 2 and 3,T,false,Nil,
Waltz,Chasse from PP,Pre-Bronze,3,RF closes to LF,Facing DW,Nil,Up. Lower e/o 4,T,false,Nil,LF closes to RF,Backing DW,1/8 between 2-3 Body turns less,Up. Lower e/o 4,T,false,Nil,
Waltz,Chasse from PP,Pre-Bronze,4,LF to side and slightly fwd,Facing DW,Nil,,TH,false,Nil,RF to side and slightly back,Backing DW,Nil,,TH,false,Nil,
Waltz,Chasse from PP,Pre-Bronze,5,RF fwd in CBMP OP,Facing DW,Nil,,H,true,Nil,LF back in CBMP,Backing DW,Nil,,T,true,Nil,
Waltz,Closed Impetus,Bronze,1,LF back,Backing LOD,Com to turn R,Rise e/o 2,TH,true,S,RF fwd,Facing LOD,Com to turn R,Com to rise e/o 1,HT,true,S,Note. When commenced backing DW turn 3/8 between 1-2 and 1/8 between 2-3. The Closed Impetus may be danced at a corner to end backing DC of new LOD.
Waltz,Closed Impetus,Bronze,2,RF closes to LF (Heel turn),Facing DC,3/8 between 1-2,Up. Lower e/o 3,HT,false,L,LF to side,Backing DC,3/8 between 1-2,Rise e/o 2,T,false,R,
Waltz,Closed Impetus,Bronze,3,LF to side and slightly back,Backing DC against the LOD,1/4 between 2-3,,TH,false,S,RF diag fwd having brushed to LF,Facing DC,1/4 between 2-3,Up. Lower e/o 3,TH,false,S,
Waltz,Closed Impetus,Bronze,4,RF back,Backing DC against the LOD,Nil,,T,true,S,LF fwd,Facing DC against LOD,Nil,,H,true,S,
Waltz,Hesitation Change,Bronze,1,RF fwd,Facing DW,Com to turn R,Com to rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R,Com to rise e/o 1 NFR,TH,true,S,Note. When danced at a corner 1/8 or 1/4 turn could be made between 4-5.
Waltz,Hesitation Change,Bronze,2,LF to side,Backing DC,1/4 between 1-2,Cont to rise on 2 and 3,T,false,R,RF to side,Pointing to LOD,3/8 between 1-2 Body turns less,Cont to rise on 2 and 3,T,false,L,
Waltz,Hesitation Change,Bronze,3,RF closes to LF,Backing LOD,1/8 between 2-3,Lower e/o 3,TH,false,R,LF closes to RF,Facing LOD,Body completes turn,Lower e/o 3,TH,false,L,
Waltz,Hesitation Change,Bronze,4,LF back,Backing LOD,Com to turn R,,TH,true,S,RF fwd,Facing LOD,Com to turn R,,HT,true,S,
Waltz,Hesitation Change,Bronze,5,RF to side small step (Heel Pull),Facing DC,3/8 between 4-5,,H; IE of foot; whole foot,false,L,LF to side,Backing DC,3/8 between 4-5,,TH,false,R,
Waltz,Hesitation Change,Bronze,6,LF closes to RF without weight,Facing DC,Nil,,IE of T (LF),false,L,RF closes to LF without weight,Backing DC,Nil,,IE of T (RF),false,R,
Waltz,Outside Change,Bronze,1,LF back,Backing DC,Nil,Com to rise e/o 1 NFR,TH,false,Nil,RF fwd,Facing DC,Nil,Com to rise e/o 1,HT,false,Nil,Note. The Outside Change may also be danced to end in Promenade Position.
Waltz,Outside Change,Bronze,2,RF back,Backing DC,Com to turn L,Cont to rise on 2,T,true,Nil,LF fwd,Facing DC,Com to turn L,Cont to rise on 2,T,true,Nil,
Waltz,Outside Change,Bronze,3,LF to side and slightly fwd,Pointing DW,1/4 between 2-3 Body turns less,Up. Lower e/o 3,TH,false,Nil,RF to side and slightly back,Backing DW,1/4 between 2-3 Body turns less,Up. Lower e/o 3,TH,false,Nil,
Waltz,Outside Change,Bronze,4,RF fwd in CBMP OP,Facing DW,Nil,,H,true,Nil,LF back in CBMP,Backing DW,Nil,,T,true,Nil,
Waltz,Reverse Corte,Bronze,1,RF back,Backing LOD,Com to turn L 3/8 between 1-2,Rise on 2,TH,true,R,LF fwd,Facing LOD,Com to turn L 1/4 between 1-2,Com to rise e/o 1,HT,true,L,Note. Other alignments are: (b) Backing LOD 1/2 turn; (c) Backing LOD 5/8 turn; (d) Backing DC 1/4 turn.
Waltz,Reverse Corte,Bronze,2,LF closes to RF without weight,Backing DC against LOD,,Up. Lower e/o 3,H(LF) then Toes both feet,false,R,RF to side,Facing centre,1/4 between 1-2,Cont to rise on 2 and 3,T,false,L,Note. Follow commences to rise slightly earlier than the Man.
Waltz,Reverse Corte,Bronze,3,Position held,Backing DC against LOD,Nil,,TH(RF),false,R,LF closes to RF,Facing DC against LOD,1/8 between 2-3,Lower e/o 3,TTH,false,L,
Waltz,Back Whisk,Bronze,1,LF back in CBMP,Backing DC against LOD,Nil,Com to rise e/o 1 NFR,TH,true,L,RF fwd in CBMP OP,Facing DC against LOD,Com to turn to R,Com to rise e/o 1,HT,true,R,
Waltz,Back Whisk,Bronze,2,RF diag back,Backing DC against the LOD,Nil,Cont to rise on 2,T,false,L,LF to side.,Facing centre.,1/8 between 1-2,Cont to rise on 2,T,false,R,"Note. If the Back Whisk is turned to R, the Man's step 2 will be 'Side & slightly back'."
Waltz,Back Whisk,Bronze,3,LF crosses behind RF in PP,Facing DW,Nil,Up. Lower e/o 3,TH,false,L,RF crosses behind LF in PP,Facing DC,1/8 between 2-3,Up. Lower e/o 3,TH,false,R,Note. It is permissible for the Lead to draw the LF back with the Toe or Heel in contact when cross behind step 3.
Waltz,Basic Weave,Silver,1,RF back,Backing DW,Nil,Rise e/o 2,TH,true,Nil,LF fwd,Facing DW,Nil,,H,true,Nil,Note. Advanced Follow dancers may use ball of foot to whole foot on step 1.
Waltz,Basic Weave,Silver,2,LF fwd,Facing DC against LOD,Com to turn L,Up. Lower e/o 3,HT,true,Nil,RF back,Backing DC against LOD,Com to turn L,Rise e/o 2,T,true,Nil,
Waltz,Basic Weave,Silver,3,RF to side.,Backing LOD,1/8 between 2-3,Com to rise e/o 4 NFR,TH,false,Nil,LF to side,Pointing DC,1/4 between 2-3 Body turns less,Up. Lower e/o 3,TH,false,Nil,Note. The Basic Weave may be ended in PP.
Waltz,Basic Weave,Silver,4,LF back in CBMP,Backing DC,1/8 between 3-4,,TH,true,Nil,RF fwd in CBMP OP,Facing DC,Nil,Com to rise e/o 4,HT,true,Nil,
Waltz,Basic Weave,Silver,5,RF back.,Backing DC,Com to turn L,Cont to rise on 5,T,true,Nil,LF fwd,Facing DC,Com to turn L,Cont to rise on 5,T,true,Nil,
Waltz,Basic Weave,Silver,6,LF to side and slightly fwd,Pointing DW,1/4 between 5-6 Body turns less.,Up. Lower e/o 6,TH,false,Nil,RF to side and slightly back,Backing DW,1/4 between 5-6 Body turns less,Up. Lower e/o 6,TH,false,Nil,
Waltz,Basic Weave,Silver,7,RF fwd in CBMP OP,Facing DW,Nil,,H,true,Nil,LF back in CBMP,Backing DW,Nil,,T,true,Nil,
Waltz,Double Reverse Spin,Bronze,1,LF fwd,Facing LOD,Com to turn L 3/8 between 1-2,Rise e/o 1,HT,true,Nil,RF back,Backing LOD,Com to turn L,Rise slightly e/o 1 NFR,TH,true,Nil,"Note. Amount of turn varies between 3/4 and full turn. Division of turn for 3/4, 7/8, and full turn given."
Waltz,Double Reverse Spin,Bronze,2,RF to side.,Backing DW,1/2 between 2-3,Up,T,false,Nil,LF closes to RF (Heel Turn),Facing LOD,1/2 between 1-2,Cont to rise on 2,HT,false,Nil,
Waltz,Double Reverse Spin,Bronze,3,LF closes to RF without weight (Toe Pivot),Facing DW,Nil,Up. Lower e/o 3,T(LF) then TH(RF),false,Nil,RF to side and slightly back,Backing wall,1/4 between 2-3,Up,T,false,Nil,"Note. Lady's timing: 1 2 & 3. Beat value: 1, 1/2, 1/2, 1."
Waltz,Double Reverse Spin,Bronze,4,,,,,,,LF crosses in front of RF,Backing DW,1/8 between 3-4,Up. Lower e/o 4,TH,false,Nil,,
Waltz,Reverse Pivot,Gold,1,RF back in CBMP (small step),DC toe turned in,Up to 1/2 to L (Pivot),,THT,true,Nil,LF fwd in CBMP (small step),Facing LOD,Up to 1/2 to L (Pivot),,TH,true,Nil,"Note. If commenced backing DC alignment is 'To centre, toe turned in'. Step is in CBMP owing to body turning strongly L."
Waltz,Progressive Chasse to Right,Bronze,1,LF fwd,Facing DC,Com to turn L 1/8 between 1-2,Com to rise e/o 1,HT,true,Nil,RF back,Backing DC,Com to turn L,Com to rise e/o 1 NFR,TH,true,Nil,Note. May be commenced facing LOD and ended backing DW (3/8 turn) with modified turn divisions.
Waltz,Progressive Chasse to Right,Bronze,2,RF to side,Backing wall,1/8 between 2-3 Body turns less,Cont to rise on 2 and 3,T,false,Nil,LF to side,Pointing DW,1/4 between 1-2 Body turns less.,Cont to rise on 2 and 3,T,false,Nil,
Waltz,Progressive Chasse to Right,Bronze,3,LF closes to RF,Backing DW,Nil,Up. Lower e/o 4,T,false,Nil,RF closes to LF,Facing DW,Slight body turn,Up. Lower e/o 4,T,false,Nil,
